Name,Symbol,Market Cap (USD),Price (USD),Circulating Supplay (USD),Volume (24h),Change (1h),Change (24h),Change (7d)
Monero,XMR,"$2,811,482,689",$157.64,"17,834,334 XMR","$1,598,401,212",-0.71%,1.58%,11.44%
TRON,TRX,"$2,714,160,668",$0.03788,"71,659,657,369 TRX *","$2,048,166,846",2.87%,5.15%,17.51%
THETA,THETA,"$2,626,270,872",$2.63,"1,000,000,000 THETA *","$278,032,413",2.46%,17.52%,34.20%
Maker,MKR,"$2,607,605,245","$2,618.89","995,692 MKR *","$390,427,420",5.04%,7.66%,79.38%
Tezos,XTZ,"$2,544,092,898",$3.35,"759,311,305 XTZ *","$554,788,216",3.19%,2.34%,18.98%
Synthetix,SNX,"$2,395,684,203",$20.86,"114,841,533 SNX *","$337,170,262",4.22%,7.68%,21.63%
Avalanche,AVAX,"$2,338,597,259",$30.40,"76,937,055 AVAX *","$853,357,524",10.12%,37.66%,137.38%
Compound,COMP,"$2,160,271,234",$469.52,"4,601,066 COMP *","$622,521,517",3.64%,9.45%,36.27%
Terra,LUNA,"$2,123,704,071",$4.39,"483,884,127 LUNA *","$481,289,349",31.58%,58.66%,173.98%
Solana,SOL,"$1,995,358,428",$7.62,"261,900,137 SOL *","$135,974,212",7.10%,12.81%,79.49%
VeChain,VET,"$1,927,630,804",$0.02997,"64,315,576,989 VET *","$394,087,896",2.61%,4.53%,17.03%
Dai,DAI,"$1,827,715,431",$1.00,"1,823,311,454 DAI *","$846,817,490",0.11%,0.16%,0.16%
Neo,NEO,"$1,817,502,020",$25.77,"70,538,831 NEO *","$1,015,308,738",3.34%,3.79%,15.60%
SushiSwap,SUSHI,"$1,785,954,192",$14.04,"127,244,443 SUSHI *","$888,768,496",1.91%,11.36%,23.55%
Huobi Token,HT,"$1,767,057,679",$9.06,"195,094,192 HT *","$379,952,446",1.37%,1.02%,38.02%
IOTA,MIOTA,"$1,757,297,235",$0.6322,"2,779,530,283 MIOTA *","$124,621,100",6.63%,12.10%,53.16%
UMA,UMA,"$1,629,801,249",$29.22,"55,775,057 UMA *","$121,345,078",3.02%,2.08%,168.04%
Crypto.com Coin,CRO,"$1,564,158,054",$0.06772,"23,096,803,652 CRO *","$100,731,440",-0.58%,4.01%,13.88%
Binance USD,BUSD,"$1,559,033,269",$1.00,"1,558,721,525 BUSD *","$3,682,096,032",0.01%,0.03%,0.01%
FTX Token,FTT,"$1,510,875,902",$16.01,"94,346,958 FTT *","$41,815,295",2.04%,14.63%,41.28%
UNUS SED LEO,LEO,"$1,388,214,736",$1.39,"999,498,893 LEO *","$18,557,444",0.17%,0.60%,6.58%
The Graph,GRT,"$1,270,534,915",$1.02,"1,245,666,867 GRT *","$588,283,999",8.82%,9.40%,29.07%
Celsius,CEL,"$1,246,187,157",$5.22,"238,863,520 CEL *","$10,284,712",0.28%,6.84%,10.70%
Algorand,ALGO,"$1,226,750,352",$0.9271,"1,323,222,374 ALGO *","$616,673,817",7.34%,14.19%,46.84%
Dash,DASH,"$1,214,381,971",$121.87,"9,964,296 DASH","$926,434,732",1.42%,2.93%,18.87%
Filecoin,FIL,"$1,210,174,365",$24.63,"49,129,320 FIL","$383,670,058",0.66%,1.99%,9.46%
Decred,DCR,"$1,202,555,592",$95.60,"12,579,412 DCR","$33,687,915",9.55%,13.11%,46.97%
yearn.finance,YFI,"$1,164,095,842","$31,775.69","36,635 YFI *","$366,189,475",0.35%,4.15%,6.58%
0x,ZRX,"$1,166,922,861",$1.56,"750,306,451 ZRX *","$740,973,307",9.73%,15.73%,138.83%
Zcash,ZEC,"$1,061,674,631",$95.75,"11,087,619 ZEC","$1,235,368,078",0.63%,3.14%,10.91%
Kusama,KSM,"$1,061,832,378",$125.36,"8,470,098 KSM *","$163,225,738",4.07%,16.63%,29.21%
Ethereum Classic,ETC,"$1,000,711,528",$8.60,"116,313,299 ETC","$1,337,521,477",0.74%,3.27%,15.68%
Revain,REV,"$993,156,965",$0.01168,"85,061,485,690 REV *","$6,961,510",-0.08%,0.05%,0.16%
NEAR Protocol,NEAR,"$901,872,704",$3.23,"279,272,211 NEAR *","$128,485,129",5.18%,-0.46%,49.98%
Nexo,NEXO,"$895,413,272",$1.60,"560,000,011 NEXO *","$22,611,949",4.61%,2.23%,81.73%
Zilliqa,ZIL,"$872,798,117",$0.07988,"10,926,621,118 ZIL","$129,298,164",3.47%,3.11%,14.73%
Waves,WAVES,"$858,270,273",$8.23,"104,278,420 WAVES *","$133,689,165",1.83%,0.80%,23.36%
Loopring,LRC,"$809,179,604",$0.6645,"1,217,747,760 LRC *","$138,114,682",2.88%,4.73%,36.95%
Ren,REN,"$805,152,209",$0.8089,"995,363,051 REN *","$233,978,399",5.48%,9.35%,36.19%
SwissBorg,CHSB,"$787,288,757",$0.8412,"935,896,751 CHSB *","$12,642,756",3.14%,-1.43%,47.00%
renBTC,RENBTC,"$734,244,887","$43,686.81","16,807 RENBTC *","$17,961,743",-0.11%,13.34%,29.40%
Hedera Hashgraph,HBAR,"$715,102,753",$0.1002,"7,139,814,809 HBAR *","$83,499,125",3.85%,6.94%,26.12%
OMG Network,OMG,"$673,469,962",$4.80,"140,245,398 OMG *","$665,622,044",4.34%,3.01%,20.01%
THORChain,RUNE,"$668,753,886",$4.22,"158,432,088 RUNE *","$145,748,005",5.32%,27.85%,16.46%
Curve DAO Token,CRV,"$653,327,650",$3.02,"216,651,626 CRV *","$297,850,003",2.41%,3.49%,25.33%
1inch,1INCH,"$635,919,886",$5.15,"123,523,197 1INCH *","$295,544,888",2.08%,6.62%,11.53%
Celo,CELO,"$626,625,230",$3.40,"184,447,717 CELO *","$58,555,978",0.09%,2.00%,20.74%
Ontology,ONT,"$613,118,929",$0.7610,"805,646,909 ONT *","$449,193,285",5.71%,14.97%,32.04%
DigiByte,DGB,"$615,776,045",$0.04393,"14,017,225,686 DGB","$75,261,417",8.00%,22.22%,57.93%
Basic Attention Token,BAT,"$608,903,823",$0.4104,"1,483,800,565 BAT *","$470,768,308",2.31%,6.05%,36.90%
Voyager Token,VGX,"$560,243,873",$2.52,"222,295,208 VGX *","$16,304,007",1.16%,12.34%,-13.74%
BitTorrent,BTT,"$539,039,009",$0.0005445,"989,980,221,269 BTT *","$216,570,200",2.66%,10.81%,44.64%
Nano,NANO,"$502,293,325",$3.77,"133,248,297 NANO *","$46,491,526",3.32%,4.82%,12.73%
ICON,ICX,"$495,904,976",$0.8445,"587,224,618 ICX *","$107,279,159",3.25%,2.58%,11.16%
HUSD,HUSD,"$495,221,852",$1.00,"495,004,561 HUSD *","$291,149,755",0.17%,0.06%,0.11%
Quant,QNT,"$480,787,066",$39.82,"12,072,738 QNT *","$10,586,253",2.50%,6.34%,15.50%
Qtum,QTUM,"$450,070,828",$4.61,"97,622,812 QTUM *","$928,804,234",6.41%,6.70%,35.49%
HedgeTrade,HEDG,"$453,965,779",$1.30,"348,731,468 HEDG *","$146,063",-5.80%,3.14%,-10.53%
Alpha Finance Lab,ALPHA,"$412,118,538",$2.37,"174,136,442 ALPHA *","$193,730,889",5.17%,11.59%,26.83%
Siacoin,SC,"$408,920,119",$0.008703,"46,987,582,992 SC","$40,347,088",3.12%,6.68%,26.02%
PancakeSwap,CAKE,"$403,900,568",$3.64,"111,054,795 CAKE *","$47,476,887",8.04%,11.78%,49.32%
Ampleforth,AMPL,"$393,545,398",$1.45,"271,020,229 AMPL *","$35,043,164",5.33%,8.59%,17.03%
Kyber Network,KNC,"$389,869,359",$1.90,"204,768,115 KNC *","$173,012,093",6.52%,12.00%,46.92%
Reserve Rights,RSR,"$381,205,269",$0.04077,"9,349,999,000 RSR *","$260,444,531",4.06%,8.24%,18.40%
OKB,OKB,"$378,768,539",$6.31,"60,000,000 OKB *","$172,336,247",0.77%,-3.43%,9.21%
Horizen,ZEN,"$377,318,913",$35.13,"10,740,994 ZEN","$29,352,525",1.61%,1.83%,-1.30%
TrueUSD,TUSD,"$375,296,042",$1.00,"375,115,054 TUSD *","$121,986,953",-0.09%,0.11%,0.15%
Decentraland,MANA,"$372,174,042",$0.2426,"1,533,947,768 MANA *","$154,617,269",5.61%,3.30%,66.57%
Matic Network,MATIC,"$367,060,733",$0.07411,"4,952,830,774 MATIC *","$295,382,123",6.76%,34.38%,102.60%
Stacks,STX,"$355,229,360",$0.4802,"739,781,894 STX *","$12,053,326",1.37%,1.11%,12.63%
Fantom,FTM,"$347,174,781",$0.1364,"2,545,006,273 FTM *","$53,659,043",3.60%,1.64%,22.91%
Enjin Coin,ENJ,"$325,642,893",$0.3904,"834,185,857 ENJ *","$66,733,628",3.14%,2.16%,22.85%
IOST,IOST,"$322,045,715",$0.01967,"16,374,175,762 IOST *","$207,516,991",1.17%,4.28%,24.74%
Ocean Protocol,OCEAN,"$317,857,776",$0.7586,"419,026,837 OCEAN *","$34,418,580",2.98%,9.08%,43.88%
Bancor,BNT,"$305,136,050",$2.56,"118,987,982 BNT *","$60,620,639",0.57%,8.58%,37.29%
Bitcoin BEP2,BTCB,"$299,526,687","$43,491.11","6,887 BTCB *","$14,304,941",-1.05%,13.04%,29.44%
Ravencoin,RVN,"$285,338,144",$0.03528,"8,088,550,000 RVN","$89,118,728",3.66%,18.66%,51.94%
Verge,XVG,"$280,640,469",$0.01708,"16,428,417,666 XVG","$22,011,192",2.59%,4.96%,9.88%
Energy Web Token,EWT,"$275,631,620",$9.17,"30,062,138 EWT *","$2,262,326",2.61%,-1.60%,25.69%
Venus,XVS,"$277,247,674",$33.34,"8,314,985 XVS *","$108,688,445",18.62%,40.68%,202.24%
Balancer,BAL,"$263,363,229",$37.93,"6,943,831 BAL *","$246,676,398",1.75%,2.74%,39.95%
TerraUSD,UST,"$259,022,700",$0.9968,"259,846,798 UST *","$26,254,825",0.02%,-1.64%,-3.05%
FunFair,FUN,"$255,500,527",$0.03901,"6,548,879,189 FUN *","$9,469,729",2.99%,2.89%,6.93%
Helium,HNT,"$253,687,467",$3.67,"69,149,973 HNT","$7,210,688",1.41%,4.76%,58.45%
Paxos Standard,PAX,"$245,616,796",$1.00,"244,951,954 PAX *","$306,552,118",0.26%,0.60%,0.14%
Band Protocol,BAND,"$243,842,356",$11.90,"20,494,033 BAND *","$236,017,851",3.25%,8.79%,10.62%
Augur,REP,"$242,813,399",$22.07,"11,000,000 REP *","$27,611,952",1.65%,4.71%,29.23%
Flow (Dapper Labs),FLOW,"$238,865,312",$10.25,"23,301,002 FLOW *","$13,743,092",-0.60%,-0.91%,-14.64%
Bitcoin Gold,BTG,"$225,030,022",$12.85,"17,513,924 BTG","$27,716,175",-2.17%,7.43%,23.76%
Lisk,LSK,"$220,126,020",$1.73,"127,217,328 LSK *","$40,514,120",3.21%,13.73%,28.93%
Status,SNT,"$222,210,573",$0.06403,"3,470,483,788 SNT *","$62,667,737",2.66%,4.00%,34.73%
Aragon,ANT,"$213,509,245",$5.39,"39,609,523 ANT *","$57,739,097",3.34%,5.97%,29.49%
NuCypher,NU,"$205,336,794",$0.5228,"392,750,000 NU *","$62,583,329",2.11%,5.55%,83.40%
Kava.io,KAVA,"$202,973,164",$3.47,"58,524,186 KAVA *","$118,586,115",2.54%,7.83%,52.68%
Telcoin,TEL,"$196,958,096",$0.003842,"51,270,110,195 TEL *","$3,722,059",16.12%,89.53%,368.49%
Gnosis,GNO,"$194,374,923",$138.68,"1,401,608 GNO *","$1,346,466",0.21%,6.09%,27.06%
Swipe,SXP,"$193,585,696",$2.26,"85,736,975 SXP *","$484,474,357",2.81%,14.53%,78.02%
Injective Protocol,INJ,"$192,796,894",$12.51,"15,406,012 INJ *","$59,195,974",9.76%,10.44%,36.66%
Theta Fuel,TFUEL,"$192,236,897",$0.03669,"5,238,872,000 TFUEL *","$17,191,148",1.42%,7.50%,34.11%
Morpheus.Network,MRPH,"$188,335,807",$3.99,"47,180,014 MRPH *","$10,054,314",1.95%,23.05%,78.34%
MaidSafeCoin,MAID,"$182,283,462",$0.4028,"452,552,412 MAID *","$1,367,365",0.09%,-2.75%,3.79%
Nervos Network,CKB,"$177,425,205",$0.007437,"23,858,171,622 CKB *","$29,047,793",0.77%,6.43%,36.83%
Arweave,AR,"$175,640,682",$5.26,"33,394,701 AR *","$6,224,899",-0.04%,1.44%,6.30%
Golem,GLM,"$172,103,408",$0.1721,"1,000,000,000 GLM *","$14,317,664",2.40%,-2.22%,49.07%
RSK Infrastructure Framework,RIF,"$163,526,500",$0.2375,"688,553,344 RIF *","$11,696,517",0.29%,1.51%,46.06%
Civic,CVC,"$162,788,257",$0.2430,"670,000,000 CVC *","$54,528,948",7.80%,3.87%,63.34%
Numeraire,NMR,"$160,718,408",$35.94,"4,471,242 NMR *","$20,019,629",1.74%,1.64%,30.50%
Mainframe,MFT,"$159,934,548",$0.01599,"10,000,000,000 MFT *","$49,019,702",-4.15%,-3.53%,154.02%
Serum,SRM,"$158,077,057",$3.16,"50,000,000 SRM *","$218,207,412",6.04%,11.50%,22.82%
Fetch.ai,FET,"$159,289,552",$0.2135,"746,113,681 FET *","$52,072,223",15.20%,24.23%,116.15%
ZB Token,ZB,"$155,627,639",$0.3359,"463,288,810 ZB *","$13,007,020",-0.15%,3.88%,17.71%
Orchid,OXT,"$155,694,334",$0.4236,"367,584,352 OXT *","$32,801,525",4.42%,5.12%,28.65%
BitShares,BTS,"$145,988,158",$0.04875,"2,994,880,000 BTS *","$40,063,130",9.24%,14.85%,22.77%
ABBC Coin,ABBC,"$144,201,371",$0.1767,"815,926,648 ABBC","$43,434,288",-3.59%,3.00%,0.22%
Utrust,UTK,"$141,360,351",$0.3141,"450,000,000 UTK *","$10,311,135",6.79%,14.55%,25.78%
KuCoin Token,KCS,"$138,530,572",$1.73,"80,118,638 KCS *","$13,974,830",0.40%,2.88%,45.83%
TomoChain,TOMO,"$138,027,456",$1.72,"80,379,163 TOMO","$23,329,157",5.17%,1.05%,39.18%
Bitcoin Diamond,BCD,"$137,398,750",$0.7368,"186,492,898 BCD","$7,086,473",-5.44%,3.12%,11.12%
Holo,HOT,"$136,220,011",$0.0008126,"167,636,296,052 HOT *","$19,795,436",1.10%,1.39%,9.56%
Unibright,UBT,"$134,202,963",$0.8947,"149,999,999 UBT *","$3,085,820",-1.75%,3.45%,10.87%
IoTeX,IOTX,"$133,108,905",$0.01380,"9,644,304,442 IOTX *","$20,573,139",1.21%,3.16%,24.02%
Storj,STORJ,"$130,837,222",$0.5210,"251,142,133 STORJ *","$51,219,240",2.90%,6.95%,20.78%
Chiliz,CHZ,"$129,820,280",$0.02386,"5,441,101,150 CHZ *","$43,627,603",4.09%,4.14%,9.70%
iExec RLC,RLC,"$125,576,015",$1.57,"80,070,793 RLC *","$13,966,591",4.35%,4.41%,29.33%
district0x,DNT,"$123,462,892",$0.2058,"600,000,000 DNT *","$34,277,193",6.19%,8.34%,65.94%
Oasis Network,ROSE,"$121,752,611",$0.08117,"1,500,000,000 ROSE *","$25,623,232",4.33%,10.95%,43.19%
Harmony,ONE,"$119,491,530",$0.01261,"9,475,545,028 ONE *","$18,513,275",2.29%,16.83%,51.41%
Pundi X,NPXS,"$118,168,624",$0.0005017,"235,514,908,115 NPXS *","$32,338,708",1.92%,4.23%,21.72%
Ankr,ANKR,"$117,823,196",$0.01814,"6,496,232,711 ANKR *","$91,268,334",8.41%,10.23%,58.39%
MonaCoin,MONA,"$117,516,887",$1.79,"65,729,675 MONA","$9,597,615",0.93%,3.12%,14.83%
PAX Gold,PAXG,"$116,158,832","$1,854.27","62,644 PAXG *","$9,401,234",1.03%,1.12%,-0.94%
Bytom,BTM,"$112,591,242",$0.08000,"1,407,333,457 BTM","$39,780,462",1.50%,2.85%,12.95%
Akropolis,AKRO,"$111,245,735",$0.04365,"2,548,320,692 AKRO *","$60,243,020",4.51%,5.45%,157.99%
CyberVein,CVT,"$107,474,102",$0.1014,"1,060,404,496 CVT *","$2,810,139",-1.51%,0.16%,16.98%
Stratis,STRAX,"$99,644,851",$0.7782,"128,037,914 STRAX *","$3,436,479",-0.69%,6.18%,13.52%
Komodo,KMD,"$98,634,152",$0.7946,"124,136,730 KMD","$6,767,825",0.69%,5.35%,21.41%
Ardor,ARDR,"$97,922,674",$0.09802,"998,999,495 ARDR *","$10,014,613",1.04%,4.06%,24.31%
SingularityNET,AGI,"$96,923,977",$0.1127,"859,720,045 AGI *","$2,552,170",3.34%,19.84%,44.36%
OriginTrail,TRAC,"$96,640,882",$0.2842,"340,031,299 TRAC *","$2,322,091",0.71%,41.67%,74.82%
aelf,ELF,"$95,568,050",$0.1755,"544,480,200 ELF *","$21,268,117",4.03%,4.17%,31.12%
Aidos Kuneen,ADK,"$93,509,485",$3.74,"25,000,000 ADK *","$1,878,388",-4.79%,5.89%,79.22%
Divi,DIVI,"$93,036,525",$0.04350,"2,138,562,495 DIVI","$327,144",5.76%,9.15%,92.46%
xDai,STAKE,"$91,092,619",$22.49,"4,049,827 STAKE *","$4,617,143",-2.76%,4.70%,47.16%
Secret,SCRT,"$91,122,713",$1.31,"69,703,477 SCRT *","$1,303,548",2.29%,11.09%,21.10%
Velas,VLX,"$91,189,953",$0.04293,"2,124,380,663 VLX *","$1,355,993",0.27%,3.94%,11.45%
Reef,REEF,"$89,703,767",$0.02964,"3,026,721,973 REEF *","$61,718,828",6.83%,13.34%,49.44%
Wrapped NXM,WNXM,"$88,893,440",$53.01,"1,676,964 WNXM *","$27,947,796",0.61%,2.31%,33.84%
ReddCoin,RDD,"$88,274,809",$0.003064,"28,808,713,174 RDD *","$1,830,145",-0.38%,7.98%,26.99%
Steem,STEEM,"$87,772,650",$0.2275,"385,780,177 STEEM *","$13,067,379",1.05%,5.27%,25.55%
Vai,VAI,"$87,150,568",$1.00,"86,910,736 VAI *","$2,645,317",0.13%,-2.03%,0.30%
JUST,JST,"$86,557,148",$0.03829,"2,260,326,706 JST *","$167,078,805",3.26%,4.18%,22.45%
IRISnet,IRIS,"$85,581,879",$0.08997,"951,214,338 IRIS *","$14,837,862",4.68%,7.85%,46.16%
saffron.finance,SFI,"$85,115,324","$1,130.14","75,314 SFI *","$6,475,816",-1.60%,6.37%,20.85%
Populous,PPT,"$83,525,994",$1.57,"53,252,246 PPT *","$5,552,040",-2.53%,-4.78%,10.88%
Wanchain,WAN,"$83,164,250",$0.4920,"169,028,581 WAN *","$6,714,112",2.00%,3.48%,18.56%
TrustSwap,SWAP,"$83,386,018",$1.14,"73,145,820 SWAP *","$2,696,025",0.17%,25.63%,32.44%
Travala.com,AVA,"$80,567,871",$1.75,"46,049,318 AVA *","$9,284,909",0.04%,2.08%,7.32%
DFI.Money,YFII,"$79,845,778","$2,068.76","38,596 YFII *","$138,948,191",2.11%,1.06%,14.50%
Opium,OPIUM,"$78,357,396",$18.83,"4,161,204 OPIUM *","$1,131,363",0.86%,0.15%,17.46%
Energi,NRG,"$79,054,229",$2.09,"37,762,294 NRG","$3,991,550",-1.57%,10.57%,1.71%
LTO Network,LTO,"$76,557,395",$0.2805,"272,957,925 LTO *","$10,872,658",0.55%,15.81%,37.12%
Haven Protocol,XHV,"$75,734,085",$5.23,"14,490,484 XHV *","$1,341,547",-1.93%,9.78%,41.33%
MX Token,MX,"$74,857,276",$0.5880,"127,316,675 MX *","$42,561,649",-1.76%,-2.32%,124.66%
Keep3rV1,KP3R,"$74,892,669",$374.46,"200,001 KP3R *","$14,252,702",-0.97%,16.28%,-0.97%
Polymath,POLY,"$72,622,577",$0.1239,"586,263,172 POLY *","$7,396,555",4.33%,2.38%,34.90%
StormX,STMX,"$71,905,568",$0.008647,"8,315,901,032 STMX *","$38,361,833",2.64%,2.37%,188.39%
Ark,ARK,"$71,719,944",$0.5643,"127,094,089 ARK *","$6,276,538",-2.27%,2.03%,38.20%
bZx Protocol,BZRX,"$70,934,267",$0.4697,"151,007,051 BZRX *","$36,781,606",7.18%,5.31%,55.50%
Syscoin,SYS,"$71,379,590",$0.1178,"606,189,278 SYS","$3,520,595",0.54%,5.53%,16.01%
Hive,HIVE,"$68,511,790",$0.1666,"411,248,756 HIVE *","$9,038,609",3.13%,7.30%,22.77%
WAX,WAXP,"$67,725,610",$0.04491,"1,507,866,011 WAXP *","$3,224,374",1.57%,3.25%,15.56%
Syntropy,NOIA,"$68,466,902",$0.2125,"322,177,587 NOIA *","$718,877",1.14%,9.68%,3.04%
Kin,KIN,"$70,783,275",$0.00004663,"1,518,114,145,968 KIN *","$718,093",2.52%,-7.91%,-12.31%
Loom Network,LOOM,"$66,348,790",$0.06836,"970,520,754 LOOM *","$17,931,726",0.81%,-2.07%,7.30%
Hxro,HXRO,"$66,345,909",$0.3090,"214,693,272 HXRO *","$1,003,732",3.69%,5.96%,63.47%
AdEx Network,ADX,"$65,622,552",$0.5766,"113,804,755 ADX *","$16,466,633",-0.10%,4.93%,43.92%
Origin Protocol,OGN,"$65,340,876",$0.2878,"227,032,994 OGN *","$37,413,853",8.67%,24.77%,34.28%
Celer Network,CELR,"$65,016,343",$0.01219,"5,334,283,347 CELR *","$21,314,230",-1.86%,16.92%,50.81%
DxChain Token,DX,"$64,234,014",$0.001285,"50,000,000,000 DX *","$148,004",-2.25%,3.99%,-2.43%
